HorseID,Horse,Venue,Track,Distance,Wins,Starts,Places,Profit,AvgOdds,WinRate,PlaceRate,ROI
E436,遨遊氣泡(E436),沙田,Turf,1600,4,10,8,1.5000000000000004,5.8,40.0,80.0,15.0
J277,包裝天將(J277),沙田,Turf,1400,3,10,5,-4.7,21.4,30.0,50.0,-47.0
J333,魔術控制(J333),沙田,Turf,1000,3,10,7,3.8000000000000003,5.9,30.0,70.0,38.0
J358,舉步生風(J358),沙田,Turf,1200,3,10,6,-3.5,35.14,30.0,60.0,-35.0
J364,凡凡有餘(J364),跑馬地,Turf,1650,3,10,5,9.7,11.7,30.0,50.0,97.0
J420,但求開心(J420),沙田,Turf,1400,3,10,7,-0.7999999999999998,14.97,30.0,70.0,-8.0
J423,瑤瑤日上(J423),跑馬地,Turf,1000,3,10,7,3.7999999999999994,9.84,30.0,70.0,38.0
J468,燭光晚餐(J468),跑馬地,Turf,1000,3,10,5,4.0,9.38,30.0,50.0,40.0
K114,一生好彩(K114),沙田,Turf,1400,3,10,4,6.3,9.38,30.0,40.0,63.0
K168,笑傲江湖(K168),沙田,Turf,1200,3,10,7,7.300000000000001,12.8,30.0,70.0,73.0
E471,風繼續吹(E471),沙田,AWT,1650,2,10,3,15.0,25.1,20.0,30.0,150.0
G207,英雄豪傑(G207),沙田,Turf,1000,2,10,4,24.0,18.3,20.0,40.0,240.0
H234,大利好運(H234),沙田,AWT,1650,2,10,6,-3.5,7.14,20.0,60.0,-35.0
H337,自強不息(H337),沙田,AWT,1200,2,10,4,0.7999999999999998,12.22,20.0,40.0,8.0
J217,鼓浪好友(J217),沙田,Turf,1200,2,10,4,9.5,10.2,20.0,40.0,95.0
J225,一定掂(J225),沙田,Turf,1400,2,10,5,-1.0999999999999996,7.18,20.0,50.0,-11.0
J391,嘉應奇兵(J391),沙田,Turf,1400,2,10,5,5.8,8.98,20.0,50.0,58.0
J467,心雄雄(J467),沙田,Turf,1400,2,10,4,2.0,10.86,20.0,40.0,20.0
J486,超加加(J486),沙田,AWT,1650,2,10,4,-3.3999999999999995,11.52,20.0,40.0,-34.0
J510,午夜快車(J510),沙田,AWT,1650,2,10,5,2.9000000000000004,10.45,20.0,50.0,29.0
J514,勁沙塵(J514),沙田,Turf,1400,2,10,6,-3.2,18.6,20.0,60.0,-32.0
K176,暴風之子(K176),跑馬地,Turf,1650,2,10,4,11.0,16.69,20.0,40.0,110.0
E061,人和家興(E061),跑馬地,Turf,1200,1,10,3,19.0,33.5,10.0,30.0,190.0
G078,綫路神驊(G078),沙田,Turf,1400,1,10,3,-7.9,11.03,10.0,30.0,-79.0
