Jockey,Venue,Track,Distance,Wins,Starts,Places,Profit,AvgOdds,WinRate,PlaceRate,ROI
湯普新,沙田,AWT,1200,1,21,1,-16.0,48.63,4.76,4.76,-76.19
湯普新,沙田,AWT,1650,1,21,5,-14.9,28.69,4.76,23.81,-70.95
貝知仁,沙田,Turf,1400,1,21,2,-7.0,54.25,4.76,9.52,-33.33
奧爾民,沙田,Turf,1800,0,21,1,-21.0,35.77,0.0,4.76,-100.0
潘大衛,沙田,Turf,1200,0,21,1,-21.0,63.42,0.0,4.76,-100.0
蔡明紹,沙田,Turf,2000,0,21,6,-21.0,32.86,0.0,28.57,-100.0
鍾易禮,跑馬地,Turf,1800,0,21,3,-21.0,43.17,0.0,14.29,-100.0
何澤堯,跑馬地,Turf,1800,4,20,6,18.9,10.0,20.0,30.0,94.5
楊明綸,沙田,Turf,1800,2,20,5,5.199999999999999,46.47,10.0,25.0,26.0
麥道朗,跑馬地,Turf,1650,2,20,3,-2.8,11.9,10.0,15.0,-14.0
紀仁安,跑馬地,Turf,1200,1,20,5,-16.7,15.22,5.0,25.0,-83.5
巫顯東,跑馬地,Turf,1650,0,20,0,-20.0,65.25,0.0,0.0,-100.0
麥文堅,跑馬地,Turf,1200,2,19,3,-3.5999999999999996,18.42,10.53,15.79,-18.95
鍾易禮,沙田,Turf,1800,1,19,3,-14.9,39.83,5.26,15.79,-78.42
周俊樂,沙田,Turf,1800,0,19,4,-19.0,40.52,0.0,21.05,-100.0
賀銘年,沙田,Turf,1600,0,19,2,-19.0,36.38,0.0,10.53,-100.0
杜苑欣,沙田,Turf,1400,1,18,6,-8.4,20.52,5.56,33.33,-46.67
紀仁安,跑馬地,Turf,1650,1,18,5,-9.0,15.62,5.56,27.78,-50.0
黃寶妮,跑馬地,Turf,1200,0,18,3,-18.0,40.1,0.0,16.67,-100.0
周俊樂,沙田,Turf,2000,2,17,3,-9.7,27.75,11.76,17.65,-57.06
梁家俊,沙田,Turf,2000,1,17,4,-11.0,32.31,5.88,23.53,-64.71
紀仁安,沙田,Turf,1600,1,17,4,-13.2,16.04,5.88,23.53,-77.65
班德禮,沙田,Turf,2000,0,17,3,-17.0,19.98,0.0,17.65,-100.0
貝知仁,沙田,Turf,1200,0,17,5,-17.0,52.02,0.0,29.41,-100.0
貝知仁,跑馬地,Turf,1200,0,17,3,-17.0,35.24,0.0,17.65,-100.0
巫顯東,沙田,AWT,1650,1,16,1,-9.6,77.28,6.25,6.25,-60.0
巫顯東,沙田,Turf,1600,0,16,1,-16.0,88.4,0.0,6.25,-100.0
布文,跑馬地,Turf,2200,2,15,3,0.0,9.87,13.33,20.0,0.0
奧爾民,跑馬地,Turf,1800,1,15,5,16.0,22.97,6.67,33.33,106.67
何澤堯,沙田,Turf,1800,0,15,1,-15.0,23.28,0.0,6.67,-100.0
湯普新,沙田,Turf,1000,0,15,3,-15.0,75.52,0.0,20.0,-100.0
董明朗,沙田,Turf,1000,0,15,1,-15.0,66.9,0.0,6.67,-100.0
賀銘年,沙田,AWT,1200,0,15,3,-15.0,40.29,0.0,20.0,-100.0
金誠剛,沙田,Turf,1000,0,15,0,-15.0,82.8,0.0,0.0,-100.0
麥道朗,沙田,Turf,2000,7,14,10,-5.7,5.09,50.0,71.43,-40.71
莫雷拉,跑馬地,Turf,1200,4,14,7,6.3999999999999995,9.89,28.57,50.0,45.71
潘頓,跑馬地,Turf,2200,2,14,7,-8.0,5.16,14.29,50.0,-57.14
董明朗,沙田,AWT,1200,2,14,3,57.0,26.27,14.29,21.43,407.14
麥文堅,沙田,Turf,1600,2,14,2,-0.2999999999999998,40.29,14.29,14.29,-2.14
賀銘年,沙田,Turf,1000,1,14,2,-4.0,44.71,7.14,14.29,-28.57
巫顯東,沙田,AWT,1200,0,14,0,-14.0,78.0,0.0,0.0,-100.0
杜苑欣,沙田,Turf,1200,0,14,3,-14.0,42.54,0.0,21.43,-100.0
莫雷拉,沙田,Turf,1200,0,14,7,-14.0,16.76,0.0,50.0,-100.0
袁幸堯,沙田,Turf,1200,3,13,7,4.799999999999999,9.84,23.08,53.85,36.92
韋紀力,沙田,Turf,1400,3,13,6,4.900000000000001,12.7,23.08,46.15,37.69
