date,meeting_name,race_number,race_key,horse_number,horse_name,finish_pos,is_win,is_top3,baseline_rank,probability_baseline,candidate_rank,probability_candidate,rank_delta,entered_top2,left_top2,dimension,period,method
2026-05-09,2026-05-09_ShaTin,9,2026-05-09::2026-05-09_ShaTin::R9,3,精彩福星,6,0,0,7.0,0.07384828006034204,7.0,0.07052347913359448,0.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,9,2026-05-09::2026-05-09_ShaTin::R9,4,星運傳奇,12,0,0,5.0,0.09018242983112078,4.0,0.10035039240071704,-1.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,9,2026-05-09::2026-05-09_ShaTin::R9,5,大愛無疆,10,0,0,3.0,0.12307533896683694,3.0,0.11881363641621234,0.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,9,2026-05-09::2026-05-09_ShaTin::R9,6,勇冠群英,8,0,0,14.0,0.011257559472615438,14.0,0.009968604303954189,0.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,9,2026-05-09::2026-05-09_ShaTin::R9,7,團結勇士,1,1,1,4.0,0.10064936403627127,5.0,0.09398536905098014,1.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,9,2026-05-09::2026-05-09_ShaTin::R9,8,表廠傳奇,14,0,0,12.0,0.018321703961305218,12.0,0.01781073218425903,0.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,9,2026-05-09::2026-05-09_ShaTin::R9,9,勇進駒,13,0,0,13.0,0.017271489691954415,13.0,0.01659307364669849,0.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,9,2026-05-09::2026-05-09_ShaTin::R9,10,勝萬金,5,0,0,10.0,0.031007643143945197,10.0,0.02828717971075755,0.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,9,2026-05-09::2026-05-09_ShaTin::R9,11,路路勁,11,0,0,6.0,0.07411189059461616,6.0,0.07736639576440664,0.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,9,2026-05-09::2026-05-09_ShaTin::R9,12,駿馬之曲,4,0,0,11.0,0.02850767607793782,11.0,0.027286790710153296,0.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
