Jockey,Trainer,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate,TrainerDebutWinRate,TrainerDebutPlaceRate,JockeyDebutWinRate,JockeyDebutPlaceRate,WinEdgeVsMean,PlaceEdgeVsMean
柯浩新,范鴻禧,0,1,0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
溫蘿,顧永賢,0,1,0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
范以誠,雷拿及雷恩,0,1,0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
莫雷拉,國枝榮,0,1,1,3.2,0.0,100.0,0.0,100.0,0.0,75.0,0.0,12.5
莫雷拉,堀宣行,0,1,1,15.0,0.0,100.0,0.0,100.0,0.0,75.0,0.0,12.5
莫雷拉,池江泰壽,0,1,1,4.6,0.0,100.0,0.0,100.0,0.0,75.0,0.0,12.5
菅原明良,高柳瑞樹,0,1,0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
薛凱華,游孝廉,0,1,0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
薛凱華,菲德文及菲敦盟,0,1,0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
薛凱華,馬漢雅,0,1,0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
薛恩,高亮能,0,1,0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
蘇銘倫,葛威法,0,1,0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西村淳也,杉山晴紀,0,1,0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
連達文,堀宣行,0,1,1,14.0,0.0,100.0,0.0,100.0,0.0,50.0,0.0,25.0
連達文,藤原英昭,0,1,0,94.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,-25.0
郭立基,活侯夫人及布特,0,1,0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
韋紀力,吉村圭司,0,1,0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
韋紀力,比安威詹 希斯,0,1,0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
馬昆,郗國思,0,1,1,13.0,0.0,100.0,0.0,100.0,0.0,25.0,0.0,37.5
黎應揚,白祈達,0,1,0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
