Trainer,Going,Wins,Starts,Places,WinRate
呂健威,第二班 - 1800米 - (100-75),0,2,1,0.0
呂健威,第二班 - 1800米 - (100-80),1,3,1,33.3
呂健威,第二班 - 1800米 - (90-60),0,1,0,0.0
呂健威,第二班 - 2000米 - (100-75),0,1,1,0.0
呂健威,第二班 - 2000米 - (95-70),1,1,1,100.0
呂健威,第五班 - 1000米 - (40-0),0,3,1,0.0
呂健威,第五班 - 1200米 - (40-0),0,17,0,0.0
呂健威,第五班 - 1400米 - (40-0),0,13,1,0.0
呂健威,第五班 - 1600米 - (40-0),0,2,0,0.0
呂健威,第五班 - 1650米 - (40-0),0,7,2,0.0
呂健威,第五班 - 1800米 - (40-0),0,1,0,0.0
呂健威,第四班 - 1000米 - (60-40),3,26,5,11.5
呂健威,第四班 - 1200米 - (60-40),14,178,55,7.9
呂健威,第四班 - 1400米 - (60-40),14,97,32,14.4
呂健威,第四班 - 1600米 - (60-40),2,23,6,8.7
呂健威,第四班 - 1650米 - (60-40),5,43,15,11.6
呂健威,第四班 - 1800米 - (60-35),0,1,0,0.0
呂健威,第四班 - 1800米 - (60-40),1,5,2,20.0
呂健威,第四班（條件限制） - 1200米 - (60-40),0,3,0,0.0
呂健威,第四班（條件限制） - 1400米 - (60-40),0,2,0,0.0
告東尼,一級賽 - 1200米,0,4,0,0.0
告東尼,一級賽 - 1400米,0,1,0,0.0
告東尼,一級賽 - 1600米,0,6,1,0.0
告東尼,一級賽 - 2000米,0,4,0,0.0
告東尼,一級賽 - 2400米,0,5,0,0.0
告東尼,三級賽 - 1000米,0,4,1,0.0
告東尼,三級賽 - 1400米,1,4,1,25.0
告東尼,三級賽 - 1600米,0,1,0,0.0
告東尼,三級賽 - 1800米,1,16,4,6.2
告東尼,三級賽 - 2400米,0,5,2,0.0
告東尼,二級賽 - 1200米,0,6,1,0.0
告東尼,二級賽 - 1600米,0,9,1,0.0
告東尼,二級賽 - 2000米,0,5,0,0.0
告東尼,四歲 - 1600米,0,1,1,0.0
告東尼,四歲 - 1800米,0,3,0,0.0
告東尼,四歲 - 2000米,0,3,0,0.0
告東尼,第一班 - 1000米 - (110-80),1,1,1,100.0
告東尼,第一班 - 1200米 - (110-85),1,2,1,50.0
告東尼,第一班 - 1200米 - (80+),0,3,1,0.0
告東尼,第一班 - 1200米 - (85+),0,2,0,0.0
告東尼,第一班 - 1400米 - (85+),0,1,0,0.0
告東尼,第一班 - 1600米 - (85+),0,2,1,0.0
告東尼,第一班 - 1650米 - (110-85),0,1,0,0.0
告東尼,第三班 - 1000米 - (80-55),0,2,0,0.0
告東尼,第三班 - 1000米 - (80-60),4,30,8,13.3
告東尼,第三班 - 1000米 - (85-60),0,5,0,0.0
告東尼,第三班 - 1200米 - (80-55),0,8,1,0.0
