Jockey,Venue,Track,Distance,Wins,Starts,Places,Profit,AvgOdds,WinRate,PlaceRate,ROI
周俊樂,跑馬地,Turf,1800,0,11,1,-11.0,18.84,0.0,9.09,-100.0
奧爾民,沙田,Turf,1800,0,11,0,-11.0,33.65,0.0,0.0,-100.0
杜苑欣,沙田,Turf,1200,0,11,2,-11.0,40.18,0.0,18.18,-100.0
梁家俊,跑馬地,Turf,1000,0,11,0,-11.0,46.06,0.0,0.0,-100.0
潘大衛,沙田,Turf,1600,0,11,0,-11.0,97.09,0.0,0.0,-100.0
董明朗,跑馬地,Turf,1200,0,11,1,-11.0,25.65,0.0,9.09,-100.0
黃寶妮,跑馬地,Turf,1650,0,11,1,-11.0,44.54,0.0,9.09,-100.0
周俊樂,跑馬地,Turf,1000,2,10,4,-4.5,10.59,20.0,40.0,-45.0
周俊樂,沙田,Turf,2000,1,10,1,-6.7,22.08,10.0,10.0,-67.0
巴度,跑馬地,Turf,1800,1,10,7,0.0,12.15,10.0,70.0,0.0
潘明輝,跑馬地,Turf,1000,1,10,2,12.0,27.12,10.0,20.0,120.0
田泰安,沙田,Turf,2000,1,10,1,-3.0,19.1,10.0,10.0,-30.0
艾道拿,跑馬地,Turf,1800,1,10,2,-1.0999999999999996,18.86,10.0,20.0,-11.0
黃寶妮,沙田,Turf,1000,1,10,4,12.0,19.07,10.0,40.0,120.0
黃智弘,沙田,Turf,1600,1,10,2,14.0,59.81,10.0,20.0,140.0
何澤堯,沙田,Turf,1800,0,10,0,-10.0,17.52,0.0,0.0,-100.0
梁家俊,沙田,AWT,1200,0,10,2,-10.0,55.58,0.0,20.0,-100.0
梁家俊,跑馬地,Turf,1800,0,10,2,-10.0,35.18,0.0,20.0,-100.0
潘大衛,沙田,AWT,1650,0,10,0,-10.0,65.6,0.0,0.0,-100.0
董明朗,沙田,Turf,1400,0,10,5,-10.0,49.85,0.0,50.0,-100.0
班德禮,沙田,Turf,1800,2,9,3,28.0,22.22,22.22,33.33,311.11
奧爾民,跑馬地,Turf,1800,1,9,2,22.0,26.57,11.11,22.22,244.44
巴度,沙田,Turf,2000,1,9,3,22.0,49.46,11.11,33.33,244.44
巫顯東,沙田,AWT,1200,0,9,0,-9.0,88.67,0.0,0.0,-100.0
巫顯東,沙田,Turf,1000,0,9,1,-9.0,119.11,0.0,11.11,-100.0
巫顯東,跑馬地,Turf,1650,0,9,0,-9.0,55.78,0.0,0.0,-100.0
梁家俊,沙田,AWT,1650,0,9,0,-9.0,78.44,0.0,0.0,-100.0
楊明綸,沙田,Turf,1800,0,9,1,-9.0,58.24,0.0,11.11,-100.0
潘明輝,沙田,Turf,2000,0,9,2,-9.0,15.67,0.0,22.22,-100.0
班德禮,沙田,Turf,2000,0,9,2,-9.0,12.74,0.0,22.22,-100.0
蔡明紹,跑馬地,Turf,1800,0,9,2,-9.0,33.83,0.0,22.22,-100.0
金誠剛,沙田,Turf,1800,0,9,3,-9.0,46.8,0.0,33.33,-100.0
金誠剛,跑馬地,Turf,1800,0,9,1,-9.0,29.67,0.0,11.11,-100.0
麥文堅,沙田,AWT,1200,1,8,2,1.6999999999999993,27.11,12.5,25.0,21.25
巫顯東,沙田,Turf,1600,0,8,0,-8.0,78.05,0.0,0.0,-100.0
巫顯東,跑馬地,Turf,1000,0,8,0,-8.0,115.88,0.0,0.0,-100.0
杜苑欣,沙田,Turf,1600,0,8,1,-8.0,24.62,0.0,12.5,-100.0
艾道拿,跑馬地,Turf,1000,0,8,0,-8.0,18.94,0.0,0.0,-100.0
董明朗,沙田,Turf,1600,0,8,1,-8.0,25.88,0.0,12.5,-100.0
蔡明紹,沙田,Turf,1800,0,8,0,-8.0,27.09,0.0,0.0,-100.0
蔡明紹,沙田,Turf,2000,0,8,4,-8.0,27.04,0.0,50.0,-100.0
鍾易禮,跑馬地,Turf,1800,0,8,3,-8.0,34.95,0.0,37.5,-100.0
黃寶妮,沙田,AWT,1650,0,8,1,-8.0,30.02,0.0,12.5,-100.0
黃智弘,沙田,Turf,1800,0,8,2,-8.0,19.0,0.0,25.0,-100.0
布文,跑馬地,Turf,2200,2,7,3,8.0,10.86,28.57,42.86,114.29
紀仁安,跑馬地,Turf,1000,2,7,4,3.6000000000000005,10.99,28.57,57.14,51.43
潘頓,跑馬地,Turf,2200,1,7,4,-4.2,4.39,14.29,57.14,-60.0
何澤堯,沙田,Turf,2000,0,7,0,-7.0,23.11,0.0,0.0,-100.0
巴度,沙田,AWT,1650,0,7,0,-7.0,14.4,0.0,0.0,-100.0
潘大衛,沙田,AWT,1200,0,7,0,-7.0,38.86,0.0,0.0,-100.0
潘大衛,跑馬地,Turf,1000,0,7,1,-7.0,79.29,0.0,14.29,-100.0
紀仁安,沙田,AWT,1650,0,7,4,-7.0,23.81,0.0,57.14,-100.0
紀仁安,沙田,Turf,2000,0,7,1,-7.0,15.83,0.0,14.29,-100.0
金誠剛,沙田,Turf,2000,0,7,3,-7.0,26.86,0.0,42.86,-100.0
霍宏聲,沙田,Turf,2000,0,7,1,-7.0,33.03,0.0,14.29,-100.0
霍宏聲,跑馬地,Turf,1800,0,7,0,-7.0,17.69,0.0,0.0,-100.0
麥文堅,沙田,Turf,1800,0,7,2,-7.0,23.86,0.0,28.57,-100.0
麥文堅,沙田,Turf,2000,0,7,2,-7.0,24.8,0.0,28.57,-100.0
黃寶妮,跑馬地,Turf,1000,0,7,3,-7.0,24.66,0.0,42.86,-100.0
麥道朗,沙田,Turf,2000,4,6,5,-1.2000000000000002,4.97,66.67,83.33,-20.0
巫顯東,沙田,Turf,2000,3,6,5,4.8,15.02,50.0,83.33,80.0
潘頓,沙田,AWT,1800,2,6,3,2.6,4.9,33.33,50.0,43.33
田泰安,沙田,AWT,1800,1,6,3,-3.1,3.98,16.67,50.0,-51.67
田泰安,跑馬地,Turf,2200,1,6,1,2.3000000000000007,7.72,16.67,16.67,38.33
莫雷拉,沙田,AWT,1200,1,6,1,7.0,12.17,16.67,16.67,116.67
袁幸堯,沙田,Turf,1000,1,6,3,-1.0,8.07,16.67,50.0,-16.67
鍾易禮,沙田,Turf,1800,1,6,2,-1.9000000000000004,14.42,16.67,33.33,-31.67
麥文堅,沙田,AWT,1650,1,6,2,-1.9000000000000004,25.63,16.67,33.33,-31.67
黃寶妮,沙田,Turf,1600,1,6,1,27.0,31.1,16.67,16.67,450.0
奧爾民,沙田,AWT,1800,0,6,1,-6.0,24.65,0.0,16.67,-100.0
奧爾民,沙田,Turf,2000,0,6,0,-6.0,46.28,0.0,0.0,-100.0
巫顯東,沙田,AWT,1650,0,6,0,-6.0,108.83,0.0,0.0,-100.0
布浩榮,沙田,Turf,1200,0,6,1,-6.0,24.25,0.0,16.67,-100.0
布浩榮,沙田,Turf,1400,0,6,1,-6.0,40.33,0.0,16.67,-100.0
