rank,formula,place_mode,gold,good,pass,top3_place,top3_win,0hit,1hit,2hit,3hit,gold_delta,good_delta,pass_delta,place_delta,zero_hit_delta,one_hit_delta
211,jt_fit_tempered+class_weight_no_rating+formline_purer,place_off,3.5%,19.0%,37.3%,41.7%,49.1%,50,148,107,11,-0.6,-1.9,-1.6,-0.9,+2,+3
212,jt_fit_tempered+class_weight_80_20+class_weight_no_rating,place_off,3.5%,19.0%,37.3%,41.7%,49.1%,50,148,107,11,-0.6,-1.9,-1.6,-0.9,+2,+3
213,jt_fit_tempered+class_weight_class_only+class_weight_no_rating,place_off,3.5%,19.0%,37.3%,41.7%,49.1%,50,148,107,11,-0.6,-1.9,-1.6,-0.9,+2,+3
214,jt_fit_tempered+class_weight_80_20+track_pure,place_live,3.8%,18.7%,37.3%,41.9%,49.4%,49,149,106,12,-0.3,-2.2,-1.6,-0.7,+1,+4
215,jt_fit_tempered+track_pure,place_half,3.5%,18.7%,37.3%,41.9%,49.4%,48,150,107,11,-0.6,-2.2,-1.6,-0.7,+0,+5
216,jt_fit_tempered+track_pure+formline_purer,place_half,3.5%,18.7%,37.3%,41.9%,49.4%,48,150,107,11,-0.6,-2.2,-1.6,-0.7,+0,+5
217,jt_fit_tempered+class_weight_80_20+track_pure,place_half,3.5%,18.7%,37.3%,41.8%,49.4%,49,149,107,11,-0.6,-2.2,-1.6,-0.8,+1,+4
218,jt_fit_tempered+class_weight_heavy_rating+track_pure,place_off,4.4%,18.0%,37.3%,42.1%,50.9%,49,149,104,14,+0.3,-2.8,-1.6,-0.5,+1,+4
219,race_shape_pure_pace+class_weight_heavy_rating,place_off,4.4%,18.0%,37.3%,41.6%,47.5%,54,144,104,14,+0.3,-2.8,-1.6,-1.1,+6,-1
220,race_shape_pure_pace+class_weight_heavy_rating+formline_purer,place_off,4.4%,18.0%,37.3%,41.6%,47.5%,54,144,104,14,+0.3,-2.8,-1.6,-1.1,+6,-1
221,race_shape_pure_pace+class_weight_80_20+class_weight_heavy_rating,place_off,4.4%,18.0%,37.3%,41.6%,47.5%,54,144,104,14,+0.3,-2.8,-1.6,-1.1,+6,-1
222,race_shape_pure_pace+class_weight_no_rating+class_weight_heavy_rating,place_off,4.4%,18.0%,37.3%,41.6%,47.5%,54,144,104,14,+0.3,-2.8,-1.6,-1.1,+6,-1
223,race_shape_pure_pace+class_weight_class_only+class_weight_heavy_rating,place_off,4.4%,18.0%,37.3%,41.6%,47.5%,54,144,104,14,+0.3,-2.8,-1.6,-1.1,+6,-1
224,jt_fit_tempered+class_weight_class_only+track_pure,place_off,3.5%,18.0%,37.3%,41.7%,48.7%,50,148,107,11,-0.6,-2.8,-1.6,-0.9,+2,+3
225,sectional_speed_heavy+jt_fit_tempered+class_weight_heavy_rating,place_live,4.4%,20.3%,37.0%,42.1%,50.0%,48,151,103,14,+0.3,-0.6,-1.9,-0.5,+0,+6
226,sectional_speed_heavy+jt_fit_tempered+class_weight_80_20,place_live,3.8%,19.9%,37.0%,41.7%,49.4%,50,149,105,12,-0.3,-0.9,-1.9,-0.9,+2,+4
