Trainer,Going,Wins,Starts,Places,WinRate
呂健威,第三班 - 2000米 - (85-60),1,1,1,100.0
呂健威,第三班（條件限制） - 1600米 - (85-60),0,2,0,0.0
呂健威,第二班 - 1000米 - (105-75),0,1,0,0.0
呂健威,第二班 - 1200米 - (100-75),1,2,1,50.0
呂健威,第二班 - 1200米 - (100-80),0,12,5,0.0
呂健威,第二班 - 1200米 - (105-80),0,3,2,0.0
呂健威,第二班 - 1400米 - (100-80),0,4,1,0.0
呂健威,第二班 - 1400米 - (105-80),0,5,1,0.0
呂健威,第二班 - 1600米 - (100-80),0,1,0,0.0
呂健威,第二班 - 1600米 - (105-75),0,1,1,0.0
呂健威,第二班 - 1600米 - (105-80),0,3,2,0.0
呂健威,第二班 - 1650米 - (100-75),0,1,0,0.0
呂健威,第二班 - 1650米 - (100-80),0,2,0,0.0
呂健威,第二班 - 1800米 - (100-70),0,1,0,0.0
呂健威,第二班 - 1800米 - (100-75),0,1,0,0.0
呂健威,第二班 - 1800米 - (100-80),1,2,1,50.0
呂健威,第二班 - 2000米 - (100-75),0,1,1,0.0
呂健威,第二班 - 2000米 - (95-70),1,1,1,100.0
呂健威,第五班 - 1000米 - (40-0),0,2,0,0.0
呂健威,第五班 - 1200米 - (40-0),0,9,0,0.0
呂健威,第五班 - 1400米 - (40-0),0,7,1,0.0
呂健威,第五班 - 1600米 - (40-0),0,1,0,0.0
呂健威,第五班 - 1650米 - (40-0),0,6,2,0.0
呂健威,第五班 - 1800米 - (40-0),0,1,0,0.0
呂健威,第四班 - 1000米 - (60-40),3,14,5,21.4
呂健威,第四班 - 1200米 - (60-40),8,95,32,8.4
呂健威,第四班 - 1400米 - (60-40),9,44,18,20.5
呂健威,第四班 - 1600米 - (60-40),1,11,3,9.1
呂健威,第四班 - 1650米 - (60-40),2,24,7,8.3
呂健威,第四班 - 1800米 - (60-40),0,2,1,0.0
呂健威,第四班（條件限制） - 1200米 - (60-40),0,2,0,0.0
呂健威,第四班（條件限制） - 1400米 - (60-40),0,2,0,0.0
告東尼,一級賽 - 1200米,0,3,0,0.0
告東尼,一級賽 - 1600米,0,2,0,0.0
告東尼,一級賽 - 2000米,0,1,0,0.0
告東尼,三級賽 - 1000米,0,2,0,0.0
告東尼,三級賽 - 1400米,0,1,0,0.0
告東尼,三級賽 - 1800米,0,3,0,0.0
告東尼,三級賽 - 2400米,0,2,1,0.0
告東尼,二級賽 - 1200米,0,3,0,0.0
告東尼,二級賽 - 1600米,0,3,1,0.0
告東尼,二級賽 - 2000米,0,2,0,0.0
告東尼,四歲 - 1600米,0,1,1,0.0
告東尼,四歲 - 1800米,0,1,0,0.0
告東尼,四歲 - 2000米,0,1,0,0.0
告東尼,第一班 - 1200米 - (80+),0,1,0,0.0
告東尼,第一班 - 1200米 - (85+),0,1,0,0.0
告東尼,第三班 - 1000米 - (80-60),1,12,1,8.3
告東尼,第三班 - 1000米 - (85-60),0,4,0,0.0
告東尼,第三班 - 1200米 - (80-55),0,2,0,0.0
告東尼,第三班 - 1200米 - (80-60),2,37,7,5.4
告東尼,第三班 - 1200米 - (85-60),0,6,0,0.0
告東尼,第三班 - 1400米 - (80-60),3,24,3,12.5
告東尼,第三班 - 1400米 - (85-60),0,1,0,0.0
告東尼,第三班 - 1600米 - (80-60),0,8,2,0.0
告東尼,第三班 - 1600米 - (85-60),0,3,0,0.0
告東尼,第三班 - 1650米 - (80-55),0,1,0,0.0
告東尼,第三班 - 1650米 - (80-60),1,22,2,4.5
告東尼,第三班 - 1650米 - (85-60),0,2,0,0.0
告東尼,第三班 - 1800米 - (80-60),1,9,4,11.1
告東尼,第三班 - 1800米 - (85-60),0,5,3,0.0
告東尼,第三班 - 2000米 - (80-60),0,2,0,0.0
告東尼,第三班 - 2000米 - (85-60),2,8,4,25.0
告東尼,第三班 - 2200米 - (80-55),0,1,1,0.0
告東尼,第三班（條件限制） - 1600米 - (85-60),0,1,1,0.0
