Name,Type,Suburb/Area,Latitude (S),Longitude (E)
Rennie Shooting Range,Shooting Range,Unknown,-35.81298,146.1354118
Peninsular Firearm Academy,Shooting Range,Unknown,-33.7069833,151.1994434
SSAA Biloela,Shooting Range,Unknown,-24.2432104,150.5614274
Horseshoe Range,Shooting Range,Unknown,-33.9604205,151.2582624
25m Zero Range,Shooting Range,Unknown,-33.9600916,151.2591623
Darwin Rifle Club,Shooting Range,Unknown,-12.401676,130.9423094
Wallaroo Pistol & Shooting Club Inc,Shooting Range,Unknown,-33.936963,137.6225106
Unknown,Shooting Range,Unknown,-33.4900062,150.196821
SSAA Sydney Branch Silverdale Rifle Range (Google),Shooting Range,Unknown,-33.9392357,150.6030098
Beaudesert Rifle Club,Shooting Range,Unknown,-27.9993751,153.071872
Quilpie Sporting Clays,Shooting Range,Unknown,-26.6150953,144.2452052
Unknown,Shooting Range,Unknown,-33.4987443,150.1442879
City of Maitland Pistol Club,Shooting Range,Unknown,-32.7456419,151.6193528
Peninsula Pistol Club,Shooting Range,Unknown,-38.2640387,145.0354863
Springwood Rifle Club,Shooting Range,Unknown,-33.7134928,150.5554937
Springwood Small Bore Rifle Club (Google),Shooting Range,Unknown,-33.7137164,150.5555375
Boorowa Gun Club,Shooting Range,Unknown,-34.4478668,148.6844986
Gem Fields Clay Shooting Club,Shooting Range,Unknown,-23.55099,147.7934798
Hervey Range Range Complex,Shooting Range,Unknown,-19.3568843,146.5007983
Unknown,Shooting Range,Unknown,-19.3545498,146.5049823
Full Boar Archers (Google),Shooting Range,Unknown,-19.3554389,146.4973437
Unknown,Shooting Range,Unknown,-19.3541684,146.502458
Unknown,Shooting Range,Unknown,-19.3538647,146.5014939
Unknown,Shooting Range,Unknown,-19.3556362,146.4986821
Unknown,Shooting Range,Unknown,-19.3558903,146.4966033
Unknown,Shooting Range,Unknown,-19.3555599,146.4955926
Sturt Pistol & Shooting Club,Shooting Range,Unknown,-35.0531982,138.5393791
Emmaville Rifle Range,Shooting Range,Unknown,-29.4567631,151.6146571
SSAA Pistol Range,Shooting Range,Unknown,-25.4025467,152.6790146
Fraser Coast Sporting Clays,Shooting Range,Unknown,-25.3994055,152.6988271
Fraser Coast Pistol Club,Shooting Range,Unknown,-25.4007332,152.6925293
SSAA Rifle Range,Shooting Range,Unknown,-25.4020894,152.6839752
Narrabri Rifle Range,Shooting Range,Unknown,-30.2573601,149.8442376
Whyalla Rifle Range,Shooting Range,Unknown,-33.0452517,137.5504782
richmond river gun club,Shooting Range,"Monaltrie, NSW, 2480",-28.8417939,153.2905847
Unknown,Shooting Range,Unknown,-28.8874554,121.3433206
Unknown,Shooting Range,Unknown,-28.8864899,121.3423399
